net,length_um
_08610_,11.2µm
_08851_,11.2µm
_09142_,11.2µm
_10050_,11.2µm
_11889_,11.2µm
_12402_,11.2µm
deser_A.serial_word\[26\],11.2µm
deser_A.serial_word\[29\],11.2µm
deser_A.serial_word\[39\],11.2µm
deser_A.serial_word\[47\],11.2µm
deser_A.word_buffer\[32\],11.2µm
deser_B.serial_word\[16\],11.2µm
ser_C.parallel_data\[444\],11.2µm
systolic_inst.A_shift\[26\]\[2\],11.2µm
clknet_leaf_91_clk,11.2µm
_09354_,11.19µm
_06327_,11.185µm
_04879_,11.18µm
_08783_,11.18µm
_09543_,11.18µm
_09836_,11.18µm
_10401_,11.18µm
_11348_,11.18µm
deser_B.serial_word\[77\],11.18µm
ser_C.shift_reg\[82\],11.18µm
deser_A.serial_toggle,11.165µm
C_out\[51\],11.16µm
_05008_,11.16µm
_07069_,11.16µm
_08304_,11.16µm
_09869_,11.16µm
_11066_,11.16µm
_09147_,11.155µm
_07208_,11.14µm
_12462_,11.14µm
_12608_,11.14µm
C_out\[326\],11.12µm
_02436_,11.12µm
_05027_,11.12µm
_05065_,11.12µm
_05442_,11.12µm
_06724_,11.12µm
_08258_,11.12µm
_09004_,11.12µm
_09478_,11.12µm
_09992_,11.12µm
_10029_,11.12µm
_10765_,11.12µm
_10993_,11.12µm
_11108_,11.12µm
_11686_,11.12µm
_12160_,11.12µm
_12216_,11.12µm
deser_B.word_buffer\[39\],11.12µm
systolic_inst.A_shift\[8\]\[4\],11.12µm
_02304_,11.105µm
B_in\[97\],11.1µm
_04092_,11.1µm
_04533_,11.1µm
_08398_,11.1µm
_10122_,11.1µm
_10335_,11.1µm
_10348_,11.1µm
systolic_inst.B_shift\[13\]\[3\],11.1µm
C_out\[320\],11.08µm
_05257_,11.08µm
_05848_,11.08µm
_06830_,11.08µm
_06940_,11.08µm
_08818_,11.08µm
_08911_,11.08µm
_09219_,11.08µm
_12412_,11.08µm
deser_A.word_buffer\[96\],11.08µm
deser_B.serial_word\[59\],11.08µm
deser_B.serial_word\[98\],11.08µm
deser_B.word_buffer\[80\],11.08µm
deser_B.word_buffer\[96\],11.08µm
systolic_inst.B_shift\[11\]\[1\],11.08µm
clknet_leaf_252_clk,11.08µm
_02749_,11.065µm
_02551_,11.06µm
_04759_,11.06µm
_06008_,11.06µm
_08375_,11.06µm
_08925_,11.06µm
deser_A.word_buffer\[22\],11.06µm
ser_C.shift_reg\[172\],11.045µm
ser_C.shift_reg\[292\],11.045µm
ser_C.shift_reg\[485\],11.045µm
_03854_,11.04µm
_06287_,11.04µm
_06494_,11.04µm
_07151_,11.04µm
_08837_,11.04µm
_10251_,11.04µm
_11403_,11.04µm
_11545_,11.04µm
_00011_,11.025µm
C_out\[128\],11.02µm
C_out\[233\],11.02µm
_02650_,11.02µm
_05595_,11.02µm
_08337_,11.02µm
_10584_,11.02µm
_11774_,11.02µm
_12328_,11.02µm
deser_A.serial_word\[15\],11.02µm
deser_B.word_buffer\[117\],11.02µm
B_in\[71\],11µm
C_out\[203\],11µm
_02483_,11µm
_04804_,11µm
_05516_,11µm
_05582_,11µm
_06147_,11µm
_07530_,11µm
_08010_,11µm
_09202_,11µm
_11996_,11µm
_12180_,11µm
deser_A.serial_word\[65\],11µm
systolic_inst.A_shift\[11\]\[2\],11µm
_08655_,10.985µm
B_in\[23\],10.98µm
C_out\[288\],10.98µm
C_out\[345\],10.98µm
_00782_,10.98µm
_02550_,10.98µm
_05919_,10.98µm
_06426_,10.98µm
_12332_,10.98µm
ser_C.parallel_data\[475\],10.98µm
ser_C.shift_reg\[159\],10.98µm
_03510_,10.97µm
ser_C.shift_reg\[411\],10.965µm
A_in\[88\],10.96µm
B_in\[39\],10.96µm
C_out\[113\],10.96µm
_04476_,10.96µm
_04733_,10.96µm
_05734_,10.96µm
_06831_,10.96µm
_07502_,10.96µm
_07880_,10.96µm
_08486_,10.96µm
_09266_,10.96µm
_09332_,10.96µm
_10444_,10.96µm
_12098_,10.96µm
deser_A.serial_word\[103\],10.96µm
deser_A.serial_word\[38\],10.96µm
deser_B.word_buffer\[28\],10.96µm
ser_C.shift_reg\[102\],10.96µm
ser_C.shift_reg\[61\],10.96µm
systolic_inst.A_shift\[25\]\[5\],10.96µm
systolic_inst.cycle_cnt\[7\],10.96µm
_04833_,10.955µm
_11574_,10.955µm
_00355_,10.94µm
_00533_,10.94µm
_00602_,10.94µm
_04896_,10.94µm
_09796_,10.94µm
_10100_,10.94µm
_10206_,10.94µm
_11827_,10.94µm
deser_B.serial_word\[65\],10.94µm
deser_B.word_buffer\[122\],10.94µm
_05496_,10.92µm
_06851_,10.92µm
_08048_,10.92µm
_10658_,10.92µm
_11328_,10.92µm
_12814_,10.92µm
_12662_,10.915µm
_01312_,10.9µm
_03394_,10.9µm
_04578_,10.9µm
_05305_,10.9µm
_06477_,10.9µm
_08276_,10.9µm
_08425_,10.9µm
_09776_,10.9µm
_10963_,10.9µm
_10987_,10.9µm
systolic_inst.row_loop\[2\].col_loop\[2\].pe_i.prod_reg\[7\],10.9µm
_12889_,10.89µm
ser_C.shift_reg\[457\],10.885µm
C_out\[216\],10.88µm
C_out\[299\],10.88µm
_03775_,10.88µm
_04960_,10.88µm
_05093_,10.88µm
_05243_,10.88µm
_05302_,10.88µm
_06314_,10.88µm
ser_C.parallel_data\[489\],10.88µm
systolic_inst.row_loop\[2\].col_loop\[3\].pe_i.prod_reg\[9\],10.88µm
_07941_,10.875µm
ser_C.shift_reg\[175\],10.865µm
B_in\[13\],10.86µm
B_in\[42\],10.86µm
B_in\[58\],10.86µm
_03528_,10.86µm
_03647_,10.86µm
_04552_,10.86µm
_04721_,10.86µm
_05010_,10.86µm
_05651_,10.86µm
_06643_,10.86µm
_08665_,10.86µm
_09431_,10.86µm
_09672_,10.86µm
_09873_,10.86µm
_12707_,10.86µm
_12830_,10.86µm
deser_A.word_buffer\[104\],10.86µm
deser_A.word_buffer\[109\],10.86µm
deser_A.word_buffer\[69\],10.86µm
deser_B.serial_word\[100\],10.86µm
_08434_,10.85µm
C_out\[123\],10.84µm
C_out\[75\],10.84µm
_02368_,10.84µm
_07609_,10.84µm
_08577_,10.84µm
_10404_,10.84µm
deser_A.word_buffer\[98\],10.84µm
deser_B.serial_word\[72\],10.84µm
deser_B.word_buffer\[8\],10.84µm
_06869_,10.83µm
C_out\[206\],10.82µm
_04797_,10.82µm
_08385_,10.82µm
_09174_,10.82µm
_09467_,10.82µm
deser_B.word_buffer\[5\],10.81µm
ser_C.shift_reg\[201\],10.805µm
C_out\[211\],10.8µm
C_out\[29\],10.8µm
_04468_,10.8µm
_04515_,10.8µm
_09797_,10.8µm
_10397_,10.8µm
_10766_,10.8µm
_11241_,10.8µm
_11290_,10.8µm
_11647_,10.8µm
ser_C.shift_reg\[499\],10.8µm
_06768_,10.795µm
ser_C.shift_reg\[366\],10.795µm
ser_C.shift_reg\[376\],10.785µm
A_in\[122\],10.78µm
_00024_,10.78µm
_00505_,10.78µm
_03838_,10.78µm
_05108_,10.78µm
_05195_,10.78µm
_05982_,10.78µm
_06363_,10.78µm
_06778_,10.78µm
_08320_,10.78µm
_09571_,10.78µm
_10716_,10.78µm
_10865_,10.78µm
_10991_,10.78µm
_12154_,10.78µm
_12685_,10.78µm
deser_A.serial_word\[60\],10.78µm
deser_A.serial_word\[70\],10.78µm
deser_A.serial_word\[89\],10.78µm
deser_B.serial_word\[34\],10.78µm
deser_B.word_buffer\[73\],10.78µm
systolic_inst.B_shift\[0\]\[7\],10.78µm
_03545_,10.76µm
_03763_,10.76µm
_05736_,10.76µm
_06769_,10.76µm
_07555_,10.76µm
_07865_,10.76µm
_08421_,10.76µm
_09231_,10.76µm
_09927_,10.76µm
_10096_,10.76µm
_11356_,10.75µm
B_in\[28\],10.74µm
B_in\[37\],10.74µm
C_out\[118\],10.74µm
C_out\[234\],10.74µm
C_out\[378\],10.74µm
_03550_,10.74µm
_04028_,10.74µm
_04588_,10.74µm
_04771_,10.74µm
_05503_,10.74µm
_07877_,10.74µm
_07992_,10.74µm
_08635_,10.74µm
_09372_,10.74µm
_10135_,10.74µm
_10345_,10.74µm
_10883_,10.74µm
_12556_,10.74µm
deser_A.serial_word\[113\],10.74µm
deser_A.word_buffer\[77\],10.74µm
deser_B.serial_word\[114\],10.74µm
deser_B.serial_word\[76\],10.74µm
deser_B.word_buffer\[61\],10.74µm
systolic_inst.row_loop\[3\].col_loop\[3\].pe_i.prod_reg\[6\],10.74µm
_04135_,10.72µm
_05548_,10.72µm
_05621_,10.72µm
_07160_,10.72µm
_07936_,10.72µm
_08768_,10.72µm
_08948_,10.72µm
_09430_,10.72µm
_09996_,10.72µm
_11399_,10.72µm
_09132_,10.705µm
_00504_,10.7µm
_03752_,10.7µm
_03866_,10.7µm
_05471_,10.7µm
_05796_,10.7µm
_06764_,10.7µm
_08940_,10.7µm
_08972_,10.7µm
_10126_,10.7µm
_10831_,10.7µm
_11033_,10.7µm
_11838_,10.7µm
_12251_,10.7µm
deser_B.word_buffer\[0\],10.7µm
_04708_,10.68µm
_05881_,10.68µm
_11124_,10.68µm
ser_C.shift_reg\[319\],10.68µm
ser_C.shift_reg\[487\],10.68µm
ser_C.shift_reg\[351\],10.675µm
_08895_,10.67µm
_09474_,10.67µm
_06963_,10.665µm
ser_C.shift_reg\[331\],10.665µm
ser_C.shift_reg\[408\],10.665µm
C_out\[287\],10.66µm
C_out\[59\],10.66µm
_03737_,10.66µm
_04573_,10.66µm
_05119_,10.66µm
_05436_,10.66µm
_07185_,10.66µm
_07315_,10.66µm
_07535_,10.66µm
_09012_,10.66µm
_09487_,10.66µm
_10201_,10.66µm
_11106_,10.66µm
_12005_,10.66µm
deser_B.word_buffer\[79\],10.66µm
ser_C.parallel_data\[445\],10.66µm
ser_C.parallel_data\[467\],10.66µm
ser_C.parallel_data\[491\],10.66µm
_06027_,10.65µm
_06906_,10.645µm
A_in\[103\],10.64µm
A_in\[9\],10.64µm
B_in\[35\],10.64µm
C_out\[180\],10.64µm
_04703_,10.64µm
_06051_,10.64µm
_06592_,10.64µm
_07743_,10.64µm
_08860_,10.64µm
_08900_,10.64µm
_09213_,10.64µm
_09791_,10.64µm
_10118_,10.64µm
_12081_,10.64µm
_12916_,10.64µm
deser_A.serial_word\[32\],10.64µm
deser_A.serial_word\[4\],10.64µm
deser_A.word_buffer\[13\],10.64µm
deser_B.serial_word\[70\],10.64µm
deser_B.word_buffer\[46\],10.64µm
systolic_inst.cycle_cnt\[18\],10.64µm
ser_C.shift_reg\[259\],10.625µm
A_in\[121\],10.62µm
C_out\[265\],10.62µm
C_out\[347\],10.62µm
_00549_,10.62µm
_04343_,10.62µm
_05873_,10.62µm
_07158_,10.62µm
_07297_,10.62µm
_08281_,10.62µm
_10088_,10.62µm
_10224_,10.62µm
_12156_,10.62µm
deser_A.word_buffer\[91\],10.62µm
deser_B.serial_word\[17\],10.62µm
deser_B.serial_word\[99\],10.62µm
deser_B.word_buffer\[55\],10.62µm
systolic_inst.A_shift\[17\]\[0\],10.62µm
_12054_,10.61µm
_00910_,10.605µm
_06875_,10.605µm
B_in\[2\],10.6µm
B_in\[49\],10.6µm
_02909_,10.6µm
_04326_,10.6µm
_06016_,10.6µm
_07617_,10.6µm
_10093_,10.6µm
_11558_,10.6µm
_12037_,10.6µm
_11573_,10.595µm
_03234_,10.585µm
ser_C.shift_reg\[493\],10.585µm
_01184_,10.58µm
_03975_,10.58µm
_05699_,10.58µm
_05709_,10.58µm
_06078_,10.58µm
_06229_,10.58µm
_07981_,10.58µm
_09434_,10.58µm
_10845_,10.58µm
C_out\[202\],10.56µm
_02490_,10.56µm
_03708_,10.56µm
_03728_,10.56µm
_04469_,10.56µm
_04838_,10.56µm
systolic_inst.A_shift\[16\]\[4\],10.56µm
_03540_,10.55µm
A_in\[14\],10.54µm
C_out\[263\],10.54µm
C_out\[412\],10.54µm
C_out\[74\],10.54µm
_02343_,10.54µm
_04219_,10.54µm
_06440_,10.54µm
_07498_,10.54µm
_08289_,10.54µm
_10015_,10.54µm
_11397_,10.54µm
deser_A.serial_word\[37\],10.54µm
deser_B.serial_word\[61\],10.54µm
ser_C.parallel_data\[451\],10.54µm
ser_C.shift_reg\[491\],10.54µm
C_out\[437\],10.52µm
_03851_,10.52µm
_07388_,10.52µm
_08060_,10.52µm
_08150_,10.52µm
_09152_,10.52µm
_09558_,10.52µm
_09580_,10.52µm
_10020_,10.52µm
ser_C.parallel_data\[476\],10.52µm
_07405_,10.505µm
ser_C.shift_reg\[289\],10.505µm
ser_C.shift_reg\[350\],10.505µm
ser_C.shift_reg\[455\],10.505µm
ser_C.shift_reg\[476\],10.505µm
ser_C.shift_reg\[97\],10.505µm
C_out\[67\],10.5µm
_03590_,10.5µm
_03630_,10.5µm
_03658_,10.5µm
_04201_,10.5µm
_04337_,10.5µm
_04787_,10.5µm
_04938_,10.5µm
_05642_,10.5µm
_06754_,10.5µm
_06921_,10.5µm
_06965_,10.5µm
_07126_,10.5µm
_07409_,10.5µm
_07678_,10.5µm
_08199_,10.5µm
_08700_,10.5µm
_08961_,10.5µm
_09286_,10.5µm
_10032_,10.5µm
_10211_,10.5µm
_10285_,10.5µm
_11373_,10.5µm
_11893_,10.5µm
_12294_,10.5µm
_12401_,10.5µm
_12732_,10.5µm
_12521_,10.495µm
ser_C.shift_reg\[236\],10.485µm
B_in\[95\],10.48µm
C_out\[152\],10.48µm
C_out\[170\],10.48µm
C_out\[209\],10.48µm
_08507_,10.48µm
_12393_,10.48µm
deser_B.serial_toggle_sync1,10.465µm
C_out\[70\],10.46µm
_03925_,10.46µm
_09536_,10.46µm
_09642_,10.46µm
_10176_,10.46µm
_11663_,10.46µm
ser_C.shift_reg\[258\],10.46µm
systolic_inst.A_shift\[0\]\[4\],10.46µm
_01426_,10.44µm
_02271_,10.44µm
_02312_,10.44µm
_02701_,10.44µm
_02723_,10.44µm
_02965_,10.44µm
_09535_,10.44µm
_10275_,10.44µm
_11032_,10.44µm
ser_C.shift_reg\[426\],10.425µm
B_in\[20\],10.42µm
C_out\[47\],10.42µm
_04315_,10.42µm
_05225_,10.42µm
_07733_,10.42µm
_08216_,10.42µm
_08414_,10.42µm
_09215_,10.42µm
_11482_,10.42µm
_11897_,10.42µm
_12686_,10.42µm
_12868_,10.42µm
_04075_,10.4µm
_05519_,10.4µm
_05550_,10.4µm
_05659_,10.4µm
_06419_,10.4µm
_07855_,10.4µm
_09402_,10.4µm
_10855_,10.4µm
_11714_,10.4µm
_12331_,10.4µm
_12478_,10.4µm
_12600_,10.4µm
deser_A.serial_word\[30\],10.4µm
deser_A.serial_word\[62\],10.4µm
deser_A.serial_word\[77\],10.4µm
deser_A.word_buffer\[121\],10.4µm
deser_A.word_buffer\[48\],10.4µm
deser_B.serial_word\[111\],10.4µm
deser_B.serial_word\[44\],10.4µm
deser_B.word_buffer\[100\],10.4µm
deser_B.word_buffer\[116\],10.4µm
deser_B.word_buffer\[124\],10.4µm
deser_B.word_buffer\[24\],10.4µm
deser_B.word_buffer\[71\],10.4µm
deser_B.word_buffer\[99\],10.4µm
_00860_,10.38µm
_01799_,10.38µm
_03573_,10.38µm
_04702_,10.38µm
_05409_,10.38µm
_05434_,10.38µm
_05824_,10.38µm
_07705_,10.38µm
_07708_,10.38µm
_09493_,10.38µm
_09819_,10.38µm
_11927_,10.38µm
deser_B.serial_word\[6\],10.38µm
ser_C.shift_reg\[286\],10.38µm
ser_C.shift_reg\[299\],10.38µm
_03727_,10.36µm
_04001_,10.36µm
_04206_,10.36µm
_04459_,10.36µm
_05989_,10.36µm
_08732_,10.36µm
_08980_,10.36µm
_09180_,10.36µm
_09798_,10.36µm
_09877_,10.36µm
_10055_,10.36µm
_10784_,10.36µm
_11152_,10.36µm
_12499_,10.36µm
deser_A.serial_word\[74\],10.36µm
_06712_,10.34µm
_07285_,10.34µm
_08110_,10.34µm
_08758_,10.34µm
_10373_,10.34µm
_12312_,10.34µm
_02587_,10.32µm
_03952_,10.32µm
_04140_,10.32µm
_05002_,10.32µm
_05256_,10.32µm
_05323_,10.32µm
_05576_,10.32µm
_05983_,10.32µm
_06833_,10.32µm
_06848_,10.32µm
_07509_,10.32µm
_10704_,10.32µm
_10755_,10.32µm
_10756_,10.32µm
_10839_,10.32µm
_11433_,10.32µm
deser_A.bit_idx\[6\],10.32µm
deser_B.word_buffer\[109\],10.32µm
_04148_,10.305µm
_11598_,10.305µm
A_in\[27\],10.3µm
_02425_,10.3µm
_05966_,10.3µm
_06064_,10.3µm
_07238_,10.3µm
_09694_,10.3µm
_12205_,10.3µm
_12701_,10.3µm
_12810_,10.3µm
_08026_,10.285µm
ser_C.shift_reg\[398\],10.285µm
A_in\[22\],10.28µm
A_in\[98\],10.28µm
B_in\[47\],10.28µm
B_in\[51\],10.28µm
B_in\[61\],10.28µm
B_in\[77\],10.28µm
C_out\[127\],10.28µm
C_out\[271\],10.28µm
C_out\[284\],10.28µm
C_out\[36\],10.28µm
C_out\[436\],10.28µm
_03225_,10.28µm
_04631_,10.28µm
_04700_,10.28µm
_04996_,10.28µm
_05016_,10.28µm
_07157_,10.28µm
_07178_,10.28µm
_07804_,10.28µm
_08853_,10.28µm
_09260_,10.28µm
_09386_,10.28µm
_10613_,10.28µm
_10683_,10.28µm
_13044_,10.28µm
deser_A.serial_word\[124\],10.28µm
deser_A.serial_word\[73\],10.28µm
deser_A.word_buffer\[105\],10.28µm
deser_A.word_buffer\[29\],10.28µm
deser_B.serial_word\[121\],10.28µm
deser_B.serial_word\[39\],10.28µm
deser_B.serial_word\[63\],10.28µm
ser_C.parallel_data\[465\],10.28µm
ser_C.parallel_data\[483\],10.28µm
ser_C.parallel_data\[484\],10.28µm
systolic_inst.A_shift\[18\]\[5\],10.28µm
systolic_inst.A_shift\[9\]\[2\],10.28µm
systolic_inst.B_shift\[23\]\[0\],10.28µm
_05125_,10.27µm
_05214_,10.26µm
_05226_,10.26µm
_05342_,10.26µm
_05481_,10.26µm
_05911_,10.26µm
_06282_,10.26µm
_07551_,10.26µm
_07660_,10.26µm
_08815_,10.26µm
_09383_,10.26µm
_10003_,10.26µm
_13043_,10.26µm
ser_C.shift_reg\[178\],10.255µm
ser_C.shift_reg\[17\],10.255µm
ser_C.shift_reg\[47\],10.255µm
_00032_,10.24µm
_03514_,10.24µm
_04072_,10.24µm
_05045_,10.24µm
_05245_,10.24µm
_05369_,10.24µm
_05463_,10.24µm
_07333_,10.24µm
_07486_,10.24µm
_07790_,10.24µm
_07831_,10.24µm
_09153_,10.24µm
_09622_,10.24µm
_10216_,10.24µm
_10666_,10.24µm
_10954_,10.24µm
_10955_,10.24µm
_11101_,10.24µm
_01942_,10.22µm
_03898_,10.22µm
_04606_,10.22µm
_08035_,10.22µm
_11288_,10.22µm
_12808_,10.22µm
deser_A.serial_word\[52\],10.22µm
systolic_inst.A_shift\[26\]\[6\],10.22µm
_03161_,10.205µm
A_in\[59\],10.2µm
C_out\[303\],10.2µm
C_out\[324\],10.2µm
_00356_,10.2µm
_02699_,10.2µm
_04842_,10.2µm
_05102_,10.2µm
_05690_,10.2µm
_07244_,10.2µm
_08926_,10.2µm
_09513_,10.2µm
_09679_,10.2µm
_09977_,10.2µm
_11151_,10.2µm
_12864_,10.2µm
systolic_inst.row_loop\[2\].col_loop\[1\].pe_i.prod_reg\[13\],10.2µm
ser_C.shift_reg\[71\],10.185µm
_03997_,10.18µm
_07085_,10.18µm
_08002_,10.18µm
_08280_,10.18µm
_09745_,10.18µm
_11421_,10.18µm
_11861_,10.18µm
_12803_,10.18µm
deser_A.serial_word\[101\],10.18µm
deser_A.serial_word\[36\],10.18µm
deser_A.word_buffer\[112\],10.18µm
deser_A.word_buffer\[97\],10.18µm
deser_B.serial_word\[80\],10.18µm
deser_B.word_buffer\[1\],10.18µm
_12637_,10.175µm
_11812_,10.17µm
A_in\[13\],10.16µm
C_out\[277\],10.16µm
C_out\[53\],10.16µm
_02571_,10.16µm
_04151_,10.16µm
_04302_,10.16µm
_04986_,10.16µm
_05741_,10.16µm
_06126_,10.16µm
_06467_,10.16µm
_06957_,10.16µm
_07421_,10.16µm
_07453_,10.16µm
_08233_,10.16µm
_09901_,10.16µm
_10030_,10.16µm
_10116_,10.16µm
_11786_,10.16µm
_12096_,10.16µm
_12999_,10.16µm
deser_B.serial_word\[102\],10.16µm
deser_B.serial_word\[124\],10.16µm
deser_B.serial_word\[50\],10.16µm
deser_B.serial_word\[74\],10.16µm
deser_B.serial_word\[84\],10.16µm
deser_B.word_buffer\[108\],10.16µm
systolic_inst.A_shift\[21\]\[6\],10.16µm
systolic_inst.A_shift\[26\]\[5\],10.16µm
A_in\[10\],10.14µm
B_in\[53\],10.14µm
_05386_,10.14µm
_05597_,10.14µm
_07654_,10.135µm
_00296_,10.13µm
_12017_,10.125µm
ser_C.shift_reg\[166\],10.125µm
ser_C.shift_reg\[349\],10.125µm
_00659_,10.12µm
_03612_,10.12µm
_05553_,10.12µm
_07698_,10.12µm
_08601_,10.12µm
_12117_,10.12µm
_12564_,10.12µm
_02152_,10.115µm
ser_C.shift_reg\[287\],10.115µm
ser_C.shift_reg\[377\],10.115µm
_02202_,10.105µm
B_in\[12\],10.1µm
B_in\[34\],10.1µm
C_out\[183\],10.1µm
C_out\[192\],10.1µm
C_out\[213\],10.1µm
_00244_,10.1µm
_00519_,10.1µm
_02428_,10.1µm
_09198_,10.1µm
_11679_,10.1µm
_12572_,10.1µm
deser_B.word_buffer\[40\],10.1µm
systolic_inst.B_shift\[12\]\[6\],10.1µm
_05297_,10.085µm
_09892_,10.085µm
A_in\[109\],10.08µm
C_out\[129\],10.08µm
C_out\[134\],10.08µm
C_out\[199\],10.08µm
_02570_,10.08µm
_02697_,10.08µm
_04988_,10.08µm
_05128_,10.08µm
_05791_,10.08µm
_06913_,10.08µm
_07696_,10.08µm
_07919_,10.08µm
_08935_,10.08µm
_09943_,10.08µm
_11569_,10.08µm
deser_A.serial_word\[64\],10.08µm
deser_B.serial_word\[36\],10.08µm
systolic_inst.B_shift\[27\]\[0\],10.08µm
systolic_inst.acc_wires\[0\]\[31\],10.08µm
systolic_inst.row_loop\[1\].col_loop\[3\].pe_i.prod_reg\[7\],10.08µm
_12065_,10.075µm
B_in\[59\],10.06µm
C_out\[405\],10.06µm
_05061_,10.06µm
_07094_,10.06µm
_11715_,10.06µm
deser_A.word_buffer\[5\],10.06µm
ser_C.shift_reg\[498\],10.06µm
ser_C.shift_reg\[502\],10.06µm
systolic_inst.B_shift\[6\]\[1\],10.06µm
_07310_,10.05µm
_12722_,10.045µm
ser_C.shift_reg\[112\],10.045µm
ser_C.shift_reg\[142\],10.045µm
ser_C.shift_reg\[53\],10.045µm
ser_C.shift_reg\[79\],10.045µm
C_out\[429\],10.04µm
C_out\[46\],10.04µm
_03789_,10.04µm
_04965_,10.04µm
_05062_,10.04µm
_05425_,10.04µm
_05445_,10.04µm
_05968_,10.04µm
_07033_,10.04µm
_07599_,10.04µm
_07799_,10.04µm
_08143_,10.04µm
_08201_,10.04µm
_08654_,10.04µm
_08937_,10.04µm
_09362_,10.04µm
_10316_,10.04µm
_11220_,10.04µm
_11417_,10.04µm
_11921_,10.04µm
_12220_,10.04µm
_12618_,10.04µm
deser_B.serial_word\[67\],10.04µm
deser_B.word_buffer\[66\],10.04µm
ser_C.bit_idx\[4\],10.04µm
ser_C.shift_reg\[235\],10.035µm
_02298_,10.02µm
_05312_,10.02µm
_06092_,10.02µm
_07608_,10.02µm
_00929_,10.005µm
_02862_,10µm
_03436_,10µm
_05464_,10µm
_07765_,10µm
_09060_,10µm
_09725_,10µm
deser_A.word_buffer\[1\],10µm
A_in\[81\],9.98µm
_00840_,9.98µm
_02823_,9.98µm
_03402_,9.98µm
_04320_,9.98µm
_04603_,9.98µm
_05028_,9.98µm
_07083_,9.98µm
_07449_,9.98µm
_07657_,9.98µm
_08313_,9.98µm
_10776_,9.98µm
_11021_,9.98µm
_11078_,9.98µm
_12831_,9.98µm
_13000_,9.98µm
systolic_inst.A_shift\[16\]\[5\],9.98µm
_04043_,9.965µm
A_in\[93\],9.96µm
B_in\[4\],9.96µm
B_in\[63\],9.96µm
_05500_,9.96µm
_06847_,9.96µm
_07329_,9.96µm
_07547_,9.96µm
_08795_,9.96µm
_10172_,9.96µm
_11683_,9.96µm
ser_C.shift_reg\[218\],9.96µm
_12603_,9.955µm
B_in\[100\],9.94µm
_03284_,9.94µm
_03615_,9.94µm
_04295_,9.94µm
_04753_,9.94µm
_06124_,9.94µm
_06366_,9.94µm
_06986_,9.94µm
_07330_,9.94µm
_08025_,9.94µm
_11374_,9.94µm
_11601_,9.94µm
_11602_,9.94µm
_11716_,9.94µm
deser_A.serial_word\[12\],9.94µm
deser_A.serial_word\[3\],9.94µm
deser_B.serial_word\[97\],9.94µm
deser_B.word_buffer\[20\],9.94µm
deser_B.word_buffer\[31\],9.94µm
deser_B.word_buffer\[54\],9.94µm
deser_B.word_buffer\[69\],9.94µm
deser_B.word_buffer\[92\],9.94µm
ser_C.shift_reg\[223\],9.94µm
systolic_inst.A_shift\[25\]\[6\],9.94µm
systolic_inst.B_shift\[15\]\[3\],9.94µm
_02695_,9.92µm
_07087_,9.92µm
_07703_,9.92µm
_09767_,9.92µm
_09838_,9.92µm
_02174_,9.905µm
_00495_,9.9µm
_03610_,9.9µm
_04377_,9.9µm
_06816_,9.9µm
_07059_,9.9µm
_07868_,9.9µm
_12139_,9.9µm
_12144_,9.9µm
_09042_,9.895µm
_04059_,9.88µm
_04904_,9.88µm
_05731_,9.88µm
_06529_,9.88µm
_07724_,9.88µm
_09026_,9.88µm
_09255_,9.88µm
_09689_,9.88µm
_10321_,9.88µm
_10822_,9.88µm
_12125_,9.88µm
systolic_inst.row_loop\[1\].col_loop\[2\].pe_i.prod_reg\[7\],9.88µm
_07351_,9.875µm
ser_C.shift_reg\[272\],9.875µm
_05325_,9.865µm
B_in\[15\],9.86µm
_00103_,9.86µm
_02658_,9.86µm
_03799_,9.86µm
_04004_,9.86µm
_04149_,9.86µm
_04492_,9.86µm
_05145_,9.86µm
_06691_,9.86µm
_06820_,9.86µm
_07943_,9.86µm
_08390_,9.86µm
_08495_,9.86µm
_09043_,9.86µm
_09303_,9.86µm
systolic_inst.row_loop\[1\].col_loop\[1\].pe_i.prod_reg\[6\],9.86µm
_04291_,9.84µm
_05322_,9.84µm
_06244_,9.84µm
_06279_,9.84µm
_07525_,9.84µm
_07674_,9.84µm
_07895_,9.84µm
_08120_,9.84µm
deser_A.serial_word\[2\],9.84µm
A_in\[36\],9.82µm
A_in\[84\],9.82µm
B_in\[56\],9.82µm
B_in\[88\],9.82µm
C_out\[14\],9.82µm
C_out\[23\],9.82µm
C_out\[33\],9.82µm
C_out\[346\],9.82µm
C_out\[385\],9.82µm
C_out\[390\],9.82µm
_00059_,9.82µm
_00506_,9.82µm
_02546_,9.82µm
_03819_,9.82µm
_04050_,9.82µm
_04874_,9.82µm
_05492_,9.82µm
_05528_,9.82µm
_06407_,9.82µm
_06684_,9.82µm
_07156_,9.82µm
_08499_,9.82µm
_08529_,9.82µm
_08728_,9.82µm
_08994_,9.82µm
_11464_,9.82µm
_12676_,9.82µm
_12886_,9.82µm
deser_A.word_buffer\[100\],9.82µm
deser_A.word_buffer\[39\],9.82µm
deser_B.serial_word\[4\],9.82µm
deser_B.word_buffer\[14\],9.82µm
deser_B.word_buffer\[85\],9.82µm
_03022_,9.8µm
_04523_,9.8µm
_04666_,9.8µm
_07587_,9.8µm
_08189_,9.8µm
_08207_,9.8µm
_09013_,9.8µm
_09894_,9.8µm
_13091_,9.8µm
ser_C.parallel_data\[500\],9.8µm
ser_C.shift_reg\[38\],9.795µm
