Metric,Value
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2313970053287376
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.24228797431920845
timing__hold__ws__corner:max_ff_n40C_1v95,0.10694412325074643
timing__setup__ws__corner:max_ff_n40C_1v95,17.881231224046456
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.106944
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,17.881231
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,396
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,396
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7996
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000397079
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000364201
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000404689
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000364201
design_powergrid__voltage__worst,0.000364201
design_powergrid__voltage__worst__net:VPWR,1.7996
design_powergrid__drop__worst,0.000397079
design_powergrid__drop__worst__net:VPWR,0.000397079
design_powergrid__voltage__worst__net:VGND,0.000364201
design_powergrid__drop__worst__net:VGND,0.000364201
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00004020000000000000135724764760425387066788971424102783203125
ir__drop__worst,0.00039700000000000000045796699765787707292474806308746337890625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
