net,length_um
deser_A.kept_shift_reg\[87\],10.5µm
deser_B.kept_shift_reg\[20\],10.5µm
_0133_,10.46µm
_0385_,10.46µm
deser_A.kept_shift_reg\[97\],10.46µm
deser_B.kept_shift_reg\[43\],10.46µm
net506,10.46µm
_0488_,10.44µm
_0397_,10.42µm
deser_B.kept_shift_reg\[58\],10.4µm
deser_A.kept_shift_reg\[112\],10.36µm
deser_B.kept_shift_reg\[119\],10.28µm
deser_B.kept_shift_reg\[34\],10.28µm
deser_B.kept_shift_reg\[69\],10.28µm
net820,10.28µm
_0336_,10.205µm
_0175_,10.2µm
ser_C.bit_idx\[9\],10.2µm
_0263_,10.185µm
deser_B.kept_shift_reg\[30\],10.16µm
deser_B.kept_shift_reg\[101\],10.14µm
_0265_,10.1µm
_0105_,10.04µm
net816,10.04µm
_0374_,10µm
deser_A.kept_shift_reg\[65\],9.94µm
deser_B.kept_shift_reg\[64\],9.94µm
deser_B.bit_idx\[4\],9.9µm
_0260_,9.86µm
_0117_,9.82µm
_0503_,9.72µm
ser_C.bit_idx\[2\],9.72µm
deser_B.kept_shift_reg\[49\],9.7µm
net502,9.66µm
deser_A.kept_shift_reg\[20\],9.62µm
ser_C.kept_bit_idx\[3\],9.62µm
deser_A.kept_shift_reg\[52\],9.58µm
deser_A.kept_shift_reg\[90\],9.58µm
deser_B.kept_shift_reg\[32\],9.58µm
deser_A.kept_shift_reg\[51\],9.54µm
deser_B.kept_shift_reg\[102\],9.54µm
_0047_,9.52µm
_0057_,9.52µm
deser_B.kept_shift_reg\[121\],9.48µm
deser_B.kept_shift_reg\[123\],9.48µm
_0166_,9.44µm
_0391_,9.44µm
B_in_frame_sync,9.4µm
B_in_serial_data,9.4µm
deser_B.kept_shift_reg\[96\],9.4µm
deser_A.kept_shift_reg\[100\],9.36µm
deser_B.kept_shift_reg\[109\],9.36µm
deser_B.kept_shift_reg\[51\],9.26µm
deser_A.kept_shift_reg\[78\],9.24µm
_0096_,9.22µm
deser_B.kept_shift_reg\[14\],9.22µm
_0491_,9.2µm
deser_A.kept_shift_reg\[92\],9.2µm
deser_B.kept_shift_reg\[88\],9.18µm
_0034_,9.16µm
_0135_,9.14µm
_0172_,9.14µm
_0232_,9.08µm
net13,9.08µm
_0074_,9.06µm
_0125_,9.06µm
_0444_,9.02µm
deser_B.kept_shift_reg\[50\],9.02µm
net35,9µm
deser_B.kept_shift_reg\[92\],8.98µm
deser_B.kept_shift_reg\[95\],8.94µm
_0122_,8.9µm
_0421_,8.9µm
deser_B.kept_shift_reg\[103\],8.82µm
deser_B.kept_shift_reg\[0\],8.815µm
deser_A.kept_shift_reg\[30\],8.8µm
deser_A.kept_shift_reg\[5\],8.78µm
deser_B.kept_shift_reg\[1\],8.73µm
A_in_serial_data,8.72µm
_0052_,8.72µm
deser_B.kept_shift_reg\[60\],8.72µm
deser_B.kept_shift_reg\[54\],8.7µm
_0094_,8.68µm
_0298_,8.68µm
_0387_,8.66µm
deser_A.kept_shift_reg\[102\],8.66µm
deser_B.kept_bit_idx\[7\],8.66µm
net497,8.66µm
deser_B.kept_shift_reg\[73\],8.64µm
_0305_,8.62µm
_0059_,8.6µm
deser_A.kept_shift_reg\[55\],8.58µm
net4,8.565µm
_0070_,8.54µm
_0167_,8.52µm
_0410_,8.52µm
deser_B.kept_shift_reg\[93\],8.52µm
_0170_,8.5µm
_0494_,8.5µm
_0236_,8.49µm
_0273_,8.48µm
deser_B.kept_shift_reg\[8\],8.48µm
_0029_,8.46µm
deser_A.kept_shift_reg\[91\],8.44µm
deser_B.kept_shift_reg\[105\],8.44µm
_0496_,8.36µm
_0197_,8.3µm
_0332_,8.28µm
deser_B.kept_shift_reg\[118\],8.24µm
deser_B.kept_shift_reg\[65\],8.24µm
net30,8.22µm
_0188_,8.2µm
_0220_,8.2µm
_0079_,8.16µm
_0087_,8.16µm
_0146_,8.16µm
_0147_,8.16µm
_0156_,8.16µm
_0202_,8.16µm
_0228_,8.16µm
_0406_,8.16µm
_0479_,8.16µm
deser_A.kept_shift_reg\[75\],8.12µm
_0085_,8.06µm
_0157_,8.06µm
_0231_,8.06µm
